Price,Close,High,Low,Open,Volume
Ticker,SMGR.JK,SMGR.JK,SMGR.JK,SMGR.JK,SMGR.JK
Date,,,,,
2024-12-04,3440.0,3440.0,3310.0,3310.0,19718800
2024-12-05,3370.0,3430.0,3360.0,3430.0,6901600
2024-12-06,3280.0,3380.0,3260.0,3370.0,19594300
2024-12-09,3310.0,3330.0,3270.0,3290.0,10425600
2024-12-10,3310.0,3350.0,3310.0,3330.0,9854000
2024-12-11,3440.0,3450.0,3310.0,3310.0,15160800
2024-12-12,3380.0,3520.0,3360.0,3460.0,11730700
2024-12-13,3400.0,3440.0,3370.0,3370.0,6867400
2024-12-16,3360.0,3420.0,3340.0,3400.0,4345600
2024-12-17,3290.0,3390.0,3280.0,3360.0,7382900
2024-12-18,3380.0,3390.0,3300.0,3310.0,10466100
2024-12-19,3280.0,3350.0,3260.0,3350.0,6603300
2024-12-20,3260.0,3320.0,3260.0,3280.0,7533200
2024-12-23,3350.0,3360.0,3220.0,3300.0,13913800
2024-12-24,3240.0,3350.0,3240.0,3350.0,6957200
2024-12-27,3300.0,3330.0,3250.0,3250.0,10314000
2024-12-30,3290.0,3350.0,3270.0,3350.0,5280100
2025-01-02,3280.0,3320.0,3260.0,3320.0,3218900
2025-01-03,3270.0,3350.0,3260.0,3300.0,4297600
2025-01-06,3220.0,3290.0,3220.0,3280.0,6742200
2025-01-07,3180.0,3250.0,3180.0,3230.0,4344300
2025-01-08,3050.0,3210.0,3040.0,3190.0,11759800
2025-01-09,2970.0,3090.0,2970.0,3050.0,10586500
2025-01-10,2980.0,3060.0,2970.0,2970.0,6219300
2025-01-13,2920.0,2990.0,2900.0,2980.0,6333400
2025-01-14,2780.0,2970.0,2730.0,2920.0,17575500
2025-01-15,2880.0,2910.0,2790.0,2790.0,16658700
2025-01-16,2850.0,2940.0,2850.0,2900.0,8767700
2025-01-17,2850.0,2910.0,2820.0,2860.0,5646600
2025-01-20,2940.0,2990.0,2850.0,2850.0,11313900
2025-01-21,3010.0,3030.0,2950.0,2960.0,9357500
2025-01-22,2950.0,3060.0,2940.0,3040.0,7509300
2025-01-23,2990.0,3100.0,2970.0,2970.0,8701500
2025-01-24,2940.0,3020.0,2930.0,2990.0,5475200
2025-01-30,2840.0,2940.0,2810.0,2930.0,9609700
2025-01-31,2810.0,2920.0,2810.0,2850.0,9236000
2025-02-03,2760.0,2810.0,2710.0,2810.0,12298300
2025-02-04,2880.0,2880.0,2720.0,2790.0,12117000
2025-02-05,2880.0,2930.0,2840.0,2850.0,6613400
2025-02-06,2770.0,2890.0,2740.0,2880.0,11650400
2025-02-07,2700.0,2770.0,2660.0,2770.0,9248600
2025-02-10,2650.0,2730.0,2610.0,2710.0,8640700
2025-02-11,2590.0,2650.0,2570.0,2650.0,10123000
2025-02-12,2550.0,2630.0,2520.0,2590.0,13190600
2025-02-13,2650.0,2760.0,2480.0,2550.0,16559000
2025-02-14,2790.0,2790.0,2620.0,2650.0,13262300
2025-02-17,2790.0,2830.0,2720.0,2790.0,11248600
